horizon,model,feature_group,split,station,n,mae,rmse,r2,interval_coverage
12,xgboost_tuned,E_full,test_selected,Bawana Delhi DPCC,3412,57.72407837853203,77.0379409727515,0.6812931517387288,0.8329425556858148
12,xgboost_tuned,E_full,test_selected,CRRI Mathura Road Delhi IMD,1721,57.96047803622772,76.2384004963365,0.546434546974554,0.8413712957582801
12,xgboost_tuned,E_full,test_selected,DTU Delhi CPCB,5128,53.23228505546701,72.5833939946211,0.6153696785212348,0.8502340093603744
12,xgboost_tuned,E_full,test_selected,Dr. Karni Singh Shooting Range Delhi DPCC,3097,46.25228439887801,63.383355731561004,0.74976060106244,0.8969970939618986
12,xgboost_tuned,E_full,test_selected,IHBAS Dilshad Garden Delhi CPCB,3953,42.618691133903965,57.504366226892564,0.6486163971039773,0.9253731343283582
12,xgboost_tuned,E_full,test_selected,ITO Delhi CPCB,4442,50.66902558001673,71.37183242501854,0.7091020148840355,0.869878433138226
12,xgboost_tuned,E_full,test_selected,Jahangirpuri Delhi DPCC,2445,56.260300055505795,74.93476297221088,0.7182294160025138,0.8478527607361963
12,xgboost_tuned,E_full,test_selected,Jawaharlal Nehru Stadium Delhi DPCC,2095,45.72789587690039,62.11010609725136,0.7878469537089715,0.8935560859188544
12,xgboost_tuned,E_full,test_selected,Major Dhyan Chand National Stadium Delhi DPCC,3604,46.901476329756896,64.79815674934443,0.7255482470694596,0.8901220865704772
12,xgboost_tuned,E_full,test_selected,Mandir Marg Delhi DPCC,2795,48.703368186609474,69.07513737710713,0.697441623758926,0.8847942754919499
12,xgboost_tuned,E_full,test_selected,Mundka Delhi DPCC,1970,63.75985786709084,85.3382826067466,0.6651464629697781,0.8137055837563452
12,xgboost_tuned,E_full,test_selected,NSIT Dwarka Delhi CPCB,4693,53.77565904134071,75.43379875992018,0.631736389382638,0.8487108459407628
12,xgboost_tuned,E_full,test_selected,Najafgarh Delhi DPCC,3583,49.48018549728287,70.78154094206502,0.6803756184176657,0.8716159642757466
12,xgboost_tuned,E_full,test_selected,Narela Delhi DPCC,3579,52.17096530395235,70.46953247055832,0.7127403477753076,0.8616932103939648
12,xgboost_tuned,E_full,test_selected,Nehru Nagar Delhi DPCC,3990,51.90223377390314,71.48394157084029,0.7480798994308214,0.8571428571428571
12,xgboost_tuned,E_full,test_selected,Okhla Phase-2 Delhi DPCC,1338,55.298831055873535,74.43980838493091,0.6917463516467148,0.827354260089686
12,xgboost_tuned,E_full,test_selected,Patparganj Delhi DPCC,4258,50.30740894337337,71.13821072173647,0.7141806689201944,0.8698919680601221
12,xgboost_tuned,E_full,test_selected,Punjabi Bagh Delhi DPCC,3188,55.00535239718639,73.79328304021483,0.6726654087816721,0.8415934755332497
12,xgboost_tuned,E_full,test_selected,Pusa Delhi DPCC,3151,49.96179775357889,69.98882579924735,0.6960330986527923,0.8784512853062519
12,xgboost_tuned,E_full,test_selected,R K Puram Delhi DPCC,3926,52.59729683283817,72.13404068131527,0.663333665265575,0.8596535914416709
12,xgboost_tuned,E_full,test_selected,Rohini Delhi DPCC,3378,57.316462535417735,76.48873615719627,0.6804300878498744,0.8348134991119005
12,xgboost_tuned,E_full,test_selected,Shadipur Delhi CPCB,6955,55.72086968548773,77.17794418181485,0.6402164109427395,0.8398274622573688
12,xgboost_tuned,E_full,test_selected,Sirifort Delhi CPCB,2234,45.7797395028274,62.64742816308893,0.7527218937938498,0.9042076991942704
12,xgboost_tuned,E_full,test_selected,Sonia Vihar Delhi DPCC,3735,54.69870679924287,74.86038426191628,0.6763526293538651,0.8519410977242302
12,xgboost_tuned,E_full,test_selected,Sri Aurobindo Marg Delhi DPCC,3891,42.54403244073457,60.44760071079329,0.7694484861101345,0.9064507838601902
12,xgboost_tuned,E_full,test_selected,Vivek Vihar Delhi DPCC,3814,52.05691434403146,70.45517302174488,0.7126145819280647,0.8636601992658626
12,xgboost_tuned,E_full,test_selected,Wazirpur Delhi DPCC,2506,59.253433120983274,79.88249762774825,0.6410595787629199,0.8328012769353551
24,persistence,A_history,validation,ALL,32626,75.11288542879912,102.3983323591354,0.12433123951738434,
24,seasonal_naive,A_history,validation,ALL,32626,75.11288542879912,102.3983323591354,0.12433123951738434,
24,xgboost,A_history,validation,ALL,32626,71.1814835437968,91.70729789192545,0.29763658213652733,
24,xgboost,B_history_time,validation,ALL,32626,68.95291448988453,89.35560034407071,0.33319684993205523,
24,xgboost,C_history_weather,validation,ALL,32626,68.8996869467625,88.54443014031528,0.3452483775651052,
24,xgboost,D_history_time_weather,validation,ALL,32626,67.67830487685471,87.03312173963623,0.3674087050684478,
24,xgboost,E_full,validation,ALL,32626,67.13305982756803,86.38438652467876,0.3768040883946031,
24,xgboost_tuned,E_full,validation,ALL,32626,67.13305982756803,86.38438652467876,0.3768040883946031,
24,random_forest,E_full,validation,ALL,32626,68.30959684482046,87.73319248289658,0.3571909910214086,
24,persistence,A_history,test,ALL,100849,63.02151731797043,91.70930781703147,0.5154445301496378,
24,seasonal_naive,A_history,test,ALL,100849,63.02151731797043,91.70930781703147,0.5154445301496378,
24,xgboost,A_history,test,ALL,100849,57.730560419994454,78.90796633775716,0.6412777040903178,
24,xgboost,B_history_time,test,ALL,100849,55.7907837107239,76.69985414600477,0.6610733293904669,
24,xgboost,C_history_weather,test,ALL,100849,55.812623178855226,76.24217231375886,0.665106134018766,
24,xgboost,D_history_time_weather,test,ALL,100849,55.00252732355963,75.4432771761276,0.6720876601837247,
24,xgboost,E_full,test,ALL,100849,55.2210686500417,75.4740423235773,0.6718201657476465,
24,xgboost_tuned,E_full,test,ALL,100849,55.2210686500417,75.4740423235773,0.6718201657476465,
24,random_forest,E_full,test,ALL,100849,56.62806242407361,76.80683515379792,0.6601271997260763,
24,xgboost,E_full,test_selected,Alipur Delhi DPCC,3319,55.45849185149402,76.6480675504397,0.6599575247891613,0.867429948779753
24,xgboost,E_full,test_selected,Anand Vihar Delhi DPCC,2819,67.10041322197293,89.30696264442979,0.5245038277295391,0.8134090102873359
24,xgboost,E_full,test_selected,Ashok Vihar Delhi DPCC,2380,54.6153494955111,73.5684144710987,0.6955716557315421,0.8857142857142857
24,xgboost,E_full,test_selected,Bawana Delhi DPCC,3414,61.7121565348933,82.26520199197586,0.6385798112545757,0.8529584065612185
24,xgboost,E_full,test_selected,CRRI Mathura Road Delhi IMD,1661,62.8156540564641,81.96403559211119,0.48227492484129386,0.8338350391330523
24,xgboost,E_full,test_selected,DTU Delhi CPCB,5088,56.60365537127609,76.49212046026697,0.5736538588236186,0.8592767295597484
24,xgboost,E_full,test_selected,Dr. Karni Singh Shooting Range Delhi DPCC,3097,48.15242127938004,65.84107376250589,0.736616282114468,0.9063609945108169
24,xgboost,E_full,test_selected,IHBAS Dilshad Garden Delhi CPCB,3922,47.21279109077512,63.237670965284394,0.5926764644804076,0.9235084140744518
24,xgboost,E_full,test_selected,ITO Delhi CPCB,4413,51.747476572140044,73.42325604296097,0.6940050858238944,0.8663041015182416
24,xgboost,E_full,test_selected,Jahangirpuri Delhi DPCC,2446,59.30306560020416,79.40111720128773,0.6898544608692997,0.8511856091578087
24,xgboost,E_full,test_selected,Jawaharlal Nehru Stadium Delhi DPCC,2086,46.95912650813307,62.77894914761659,0.783517953684755,0.9117929050814957
