station,horizon,persistence,actual_events,predicted_events,matched_events,false_alarms,missed_events,event_precision,event_recall,event_f1,onset_error_hours,onset_error_hours_n,peak_error_hours,peak_error_hours_n,duration_error_hours,duration_error_hours_n,recovery_error_hours,recovery_error_hours_n
NSIT Dwarka Delhi CPCB,1,6,88,85,79,6,9,0.9294117647058824,0.8977272727272727,0.9132947976878613,1.9305555555555556,72,3.2911392405063293,79,3.0434782608695654,69,1.6756756756756757,74
NSIT Dwarka Delhi CPCB,6,2,129,122,85,37,44,0.6967213114754098,0.6589147286821705,0.6772908366533864,8.226666666666667,75,8.094117647058823,85,12.957142857142857,70,7.881578947368421,76
NSIT Dwarka Delhi CPCB,6,3,115,104,78,26,37,0.75,0.6782608695652174,0.7123287671232875,8.594202898550725,69,8.538461538461538,78,13.169230769230769,65,8.214285714285714,70
NSIT Dwarka Delhi CPCB,6,6,86,79,61,18,25,0.7721518987341772,0.7093023255813954,0.7393939393939394,9.771929824561404,57,10.557377049180328,61,14.654545454545454,55,9.637931034482758,58
NSIT Dwarka Delhi CPCB,12,2,130,111,78,33,52,0.7027027027027027,0.6,0.6473029045643154,7.485714285714286,70,7.833333333333333,78,15.571428571428571,63,9.223880597014926,67
NSIT Dwarka Delhi CPCB,12,3,113,96,68,28,45,0.7083333333333334,0.6017699115044248,0.6507177033492824,7.709677419354839,62,8.147058823529411,68,15.607142857142858,56,9.793103448275861,58
NSIT Dwarka Delhi CPCB,12,6,88,69,55,14,33,0.7971014492753623,0.625,0.7006369426751592,9.07843137254902,51,9.709090909090909,55,17.74468085106383,47,11.0,49
NSIT Dwarka Delhi CPCB,24,2,130,110,74,36,56,0.6727272727272727,0.5692307692307692,0.6166666666666667,6.225806451612903,62,6.5675675675675675,74,13.543859649122806,57,8.206349206349206,63
NSIT Dwarka Delhi CPCB,24,3,112,98,66,32,46,0.673469387755102,0.5892857142857143,0.6285714285714286,6.7272727272727275,55,7.136363636363637,66,14.25,52,8.655172413793103,58
NSIT Dwarka Delhi CPCB,24,6,82,64,50,14,32,0.78125,0.6097560975609756,0.684931506849315,7.651162790697675,43,8.1,50,15.560975609756097,41,9.27659574468085,47
